temporada;data;time_casa;time_fora;gols_casa_ft;gols_fora_ft;resultado_ft;odd_pinnacle_casa;odd_pinnacle_empate;odd_pinnacle_fora;odd_media_casa;odd_media_empate;odd_media_fora
2012;2012-05-19;Palmeiras;Portuguesa;1;1;D;1,75;3,86;5,25;1,69;3,5;4,9
2012;2012-05-19;Sport Recife;Flamengo RJ;1;1;D;2,83;3,39;2,68;2,59;3,23;2,58
2012;2012-05-20;Figueirense;Nautico;2;1;H;1,6;4,04;6,72;1,59;3,67;5,64
2012;2012-05-20;Botafogo RJ;Sao Paulo;4;2;H;2,49;3,35;3,15;2,35;3,26;2,84
2012;2012-05-20;Corinthians;Fluminense;0;1;A;1,96;3,53;4,41;1,89;3,33;3,89
2012;2012-05-20;Internacional;Coritiba;2;0;H;1,76;3,63;5,66;1,66;3,55;5,1
2012;2012-05-20;Ponte Preta;Atletico-MG;0;1;A;3,12;3,45;2,44;2,74;3,23;2,45
2012;2012-05-20;Bahia;Santos;0;0;D;2,33;3,44;3,32;2,3;3,22;2,97
2012;2012-05-20;Cruzeiro;Atletico GO;0;0;D;1,83;3,74;4,82;1,78;3,47;4,3
2012;2012-05-20;Vasco;Gremio;2;1;H;2,25;3,4;3,53;2,08;3,25;3,41
2012;2012-05-26;Atletico GO;Ponte Preta;1;1;D;1,66;4,09;5,79;1,66;3,59;5,04
2012;2012-05-26;Flamengo RJ;Internacional;3;3;D;2,13;3,35;3,95;1,99;3,23;3,74
2012;2012-05-26;Portuguesa;Vasco;0;1;A;2,5;3,5;2,67;2,62;3,22;2,54
2012;2012-05-27;Nautico;Cruzeiro;0;0;D;3,15;3,31;2,49;2,67;3,18;2,55
2012;2012-05-27;Atletico-MG;Corinthians;1;0;H;2,04;3,43;4,09;2,08;3,28;3,43
2012;2012-05-27;Coritiba;Botafogo RJ;2;3;A;1,79;3,88;4,84;1,77;3,6;4,15
2012;2012-05-27;Santos;Sport Recife;0;0;D;1,42;4,76;9,52;1,41;4,17;7,46
2012;2012-05-27;Sao Paulo;Bahia;1;0;H;1,47;4,74;7,68;1,44;4,12;6,93
2012;2012-05-27;Fluminense;Figueirense;2;2;D;1,65;4,01;6;1,65;3,61;5,08
2012;2012-05-27;Gremio;Palmeiras;1;0;H;1,97;3,59;4,26;1,97;3,33;3,66
2012;2012-06-06;Atletico GO;Gremio;0;1;A;2,31;3,56;3,25;2,28;3,26;2,96
2012;2012-06-06;Sport Recife;Palmeiras;2;1;H;2,62;3,39;2,9;2,46;3,17;2,77
2012;2012-06-07;Atletico-MG;Bahia;1;1;D;1,46;4,55;8,5;1,43;4,13;7,23
2012;2012-06-07;Coritiba;Portuguesa;2;0;H;1,7;3,94;5,59;1,59;3,72;5,37
2012;2012-06-07;Vasco;Nautico;4;2;H;1,4;4,99;9,42;1,37;4,4;8,19
2012;2012-06-07;Internacional;Sao Paulo;1;0;H;1,83;3,77;4,75;1,86;3,41;4,03
2012;2012-06-07;Ponte Preta;Flamengo RJ;2;2;D;2,52;3,53;2,94;2,55;3,21;2,67
2012;2012-06-07;Santos;Fluminense;1;1;D;2,15;3,45;3,77;2,02;3,23;3,63
2012;2012-06-08;Botafogo RJ;Cruzeiro;2;3;A;2,17;3,39;3,79;2,02;3,32;3,58
2012;2012-06-08;Corinthians;Figueirense;1;1;D;1,61;4,12;6,35;1,56;3,77;5,68
2012;2012-06-09;Flamengo RJ;Coritiba;3;1;H;2,06;3,51;3,95;1,93;3,34;3,83
2012;2012-06-10;Palmeiras;Atletico-MG;0;1;A;2,06;3,69;3,79;2,05;3,37;3,39
2012;2012-06-10;Portuguesa;Atletico GO;2;0;H;2,19;3,43;3,67;2,08;3,26;3,4
2012;2012-06-10;Bahia;Vasco;1;2;A;3,04;3,47;2,48;2,93;3,24;2,31
2012;2012-06-10;Fluminense;Internacional;0;0;D;1,96;3,43;4,59;1,92;3,27;3,95
2012;2012-06-10;Gremio;Corinthians;2;0;H;1,53;4,24;7,45;1,53;3,84;6,06
2012;2012-06-10;Cruzeiro;Sport Recife;1;0;H;1,54;4,26;7,3;1,55;3,83;5,76
2012;2012-06-10;Figueirense;Ponte Preta;0;0;D;1,85;3,71;4,71;1,74;3,51;4,52
2012;2012-06-10;Nautico;Botafogo RJ;3;2;H;2,33;3,58;3,18;2,35;3,36;2,8
2012;2012-06-10;Sao Paulo;Santos;1;0;H;1,85;3,7;4,74;1,83;3,42;4,11
2012;2012-06-16;Cruzeiro;Figueirense;1;0;H;1,77;3,85;5,09;1,72;3,53;4,54
2012;2012-06-16;Internacional;Botafogo RJ;1;2;A;1,61;4,37;5,94;1,54;3,91;5,7
2012;2012-06-17;Fluminense;Portuguesa;4;1;H;1,54;4,38;6,98;1,46;4,04;6,8
2012;2012-06-17;Bahia;Sport Recife;2;1;H;1,93;3,54;4,51;1,96;3,34;3,68
2012;2012-06-17;Flamengo RJ;Santos;1;0;H;1,75;3,96;5,13;1,63;3,65;5,12
2012;2012-06-17;Palmeiras;Vasco;1;1;D;2,38;3,55;3,14;2,33;3,24;2,91
2012;2012-06-17;Sao Paulo;Atletico-MG;1;0;H;2,31;3,24;3,53;2,1;3,23;3,38
2012;2012-06-17;Coritiba;Atletico GO;3;0;H;1,94;3,7;4,22;1,83;3,42;4,08
2012;2012-06-17;Nautico;Gremio;1;0;H;2,7;3,42;2,8;2,44;3,26;2,73
2012;2012-06-17;Ponte Preta;Corinthians;1;0;H;2,19;3,66;3,44;2,15;3,24;3,23
2012;2012-06-23;Portuguesa;Sao Paulo;1;0;H;3,42;3,8;2,15;3,07;3,28;2,22
2012;2012-06-23;Vasco;Cruzeiro;1;3;A;1,8;3,91;4,76;1,72;3,59;4,53
2012;2012-06-24;Atletico-MG;Nautico;5;1;H;1,35;5,09;10,75;1,35;4,54;8,38
2012;2012-06-24;Corinthians;Palmeiras;2;1;H;2,92;3,35;2,63;2,65;3,1;2,62
2012;2012-06-24;Figueirense;Bahia;1;1;D;1,59;4;6,99;1,59;3,74;5,46
2012;2012-06-24;Gremio;Flamengo RJ;2;0;H;1,63;3,97;6,33;1,66;3,66;4,92
2012;2012-06-24;Atletico GO;Fluminense;1;4;A;2,78;3,46;2,69;2,8;3,22;2,41
2012;2012-06-24;Botafogo RJ;Ponte Preta;1;2;A;1,55;4,24;7,18;1,58;3,82;5,41
2012;2012-06-24;Santos;Coritiba;2;2;D;1,69;4,12;5,35;1,6;3,78;5,18
2012;2012-06-24;Sport Recife;Internacional;0;2;A;2,93;3,33;2,65;2,88;3,15;2,4
2012;2012-06-30;Cruzeiro;Sao Paulo;2;3;A;2,09;3,48;3,92;2,04;3,3;3,47
2012;2012-06-30;Nautico;Fluminense;0;2;A;3,14;3,43;2,45;2,86;3,24;2,35
2012;2012-06-30;Vasco;Ponte Preta;3;2;H;1,58;4,23;6,5;1,46;4,03;6,78
2012;2012-07-01;Bahia;Internacional;1;1;D;2,98;3,41;2,54;2,9;3,16;2,38
2012;2012-07-01;Coritiba;Sport Recife;2;3;A;1,7;3,95;5,51;1,66;3,58;5,01
2012;2012-07-01;Portuguesa;Santos;0;0;D;3,93;3,56;2,04;3,52;3,32;2,02
2012;2012-07-01;Flamengo RJ;Atletico GO;3;2;H;1,76;3,75;5,38;1,59;3,71;5,44
2012;2012-07-01;Gremio;Atletico-MG;0;1;A;1,97;3,51;4,42;1,93;3,31;3,8
2012;2012-07-01;Palmeiras;Figueirense;3;1;H;1,97;3,55;4,33;2;3,28;3,64
2012;2012-07-07;Botafogo RJ;Bahia;3;0;H;1,56;4,24;6,88;1,55;3,77;5,85
2012;2012-07-07;Internacional;Cruzeiro;2;1;H;1,84;3,69;4,88;1,75;3,48;4,55
2012;2012-07-08;Atletico GO;Nautico;0;1;A;1,66;4,26;5,44;1,65;3,78;4,86
2012;2012-07-08;Figueirense;Vasco;1;1;D;2,43;3,36;3,22;2,31;3,2;2,99
2012;2012-07-08;Fluminense;Flamengo RJ;1;0;H;2,04;3,67;3,85;1,96;3,35;3,67
2012;2012-07-08;Santos;Gremio;4;2;H;2;3,62;4,13;1,87;3,38;3,99
2012;2012-07-08;Sao Paulo;Coritiba;3;1;H;1,53;4,58;6,76;1,46;4,07;6,85
2012;2012-07-08;Atletico-MG;Portuguesa;2;0;H;1,43;5,09;7,9;1,39;4,4;7,52
2012;2012-07-08;Ponte Preta;Palmeiras;1;0;H;2,27;3,33;3,56;2,12;3,22;3,36
2012;2012-07-08;Sport Recife;Corinthians;1;1;D;2,41;3,48;3,14;2,22;3,22;3,11
2012;2012-07-11;Corinthians;Botafogo RJ;1;3;A;2,06;3,54;3,93;1,89;3,32;3,94
2012;2012-07-14;Corinthians;Nautico;2;1;H;1,41;4,9;9,3;1,41;4,31;7,41
2012;2012-07-14;Figueirense;Atletico-MG;3;4;A;2,74;3,38;2,78;2,47;3,24;2,7
2012;2012-07-15;Ponte Preta;Coritiba;4;1;H;2,68;3,34;2,88;2,32;3,21;2,98
2012;2012-07-15;Bahia;Flamengo RJ;1;2;A;2,27;3,5;3,4;2,25;3,26;3,02
2012;2012-07-15;Botafogo RJ;Fluminense;1;1;D;2,6;3,48;2,86;2,57;3,24;2,61
2012;2012-07-15;Cruzeiro;Gremio;1;3;A;1,98;3,62;4,19;1,93;3,38;3,75
2012;2012-07-15;Internacional;Santos;0;0;D;2,04;3,51;4,08;1,9;3,34;3,91
2012;2012-07-15;Palmeiras;Sao Paulo;1;1;D;2,7;3,2;2,97;2,6;3,16;2,64
2012;2012-07-15;Sport Recife;Portuguesa;2;1;H;2,23;3,45;3,56;2,06;3,32;3,43
2012;2012-07-15;Vasco;Atletico GO;1;0;H;1,61;4,23;6,09;1,52;3,92;5,97
2012;2012-07-18;Gremio;Sport Recife;3;1;H;1,42;4,94;8,94;1,37;4,41;7,96
2012;2012-07-18;Santos;Botafogo RJ;0;0;D;2,24;3,6;3,37;2,21;3,28;3,1
2012;2012-07-19;Nautico;Ponte Preta;3;0;H;2,25;3,58;3,37;2,15;3,28;3,2
